"","BIRTH","COUNTRY","GENDER","ObsValue","RATE","TIME_FORMAT","Time"
"1","FB","AUS","MEN","74","N_RATE","P1Y","2000"
"2","FB","AUS","MEN","73.9","N_RATE","P1Y","2001"
"3","FB","AUS","MEN","74","N_RATE","P1Y","2002"
"4","FB","AUS","MEN","74.1","N_RATE","P1Y","2003"
"5","FB","AUS","MEN","75.6","N_RATE","P1Y","2004"
"6","FB","AUS","MEN","76.7","N_RATE","P1Y","2005"
"7","FB","AUS","MEN","77.1","N_RATE","P1Y","2006"
"8","FB","AUS","MEN","77.8","N_RATE","P1Y","2007"
"9","FB","AUS","MEN","78.6","N_RATE","P1Y","2008"
"10","FB","AUS","MEN","76.7","N_RATE","P1Y","2009"
"11","FB","AUS","MEN","78","N_RATE","P1Y","2010"
"12","FB","AUS","MEN","79.3","N_RATE","P1Y","2011"
"13","FB","AUS","MEN","78.6","N_RATE","P1Y","2012"
"14","FB","AUS","MEN","77.8","N_RATE","P1Y","2013"
"15","FB","AUS","MEN","77.7","N_RATE","P1Y","2014"
"16","FB","AUS","MEN","78.8","N_RATE","P1Y","2015"
"17","FB","AUS","MEN","78.8","N_RATE","P1Y","2016"
"18","FB","AUS","MEN","79.2","N_RATE","P1Y","2017"
"19","FB","AUS","MEN","79.9","N_RATE","P1Y","2018"
"20","FB","AUS","MEN","79.7","N_RATE","P1Y","2019"
"21","FB","AUS","MEN","78.3","N_RATE","P1Y","2020"
"22","FB","AUS","MEN","81","N_RATE","P1Y","2021"
"23","FB","AUS","MEN","6.5","U_RATE","P1Y","2000"
"24","FB","AUS","MEN","7.1","U_RATE","P1Y","2001"
"25","FB","AUS","MEN","6.8","U_RATE","P1Y","2002"
"26","FB","AUS","MEN","6.4","U_RATE","P1Y","2003"
"27","FB","AUS","MEN","5.3","U_RATE","P1Y","2004"
"28","FB","AUS","MEN","5.2","U_RATE","P1Y","2005"
"29","FB","AUS","MEN","4.8","U_RATE","P1Y","2006"
"30","FB","AUS","MEN","4.3","U_RATE","P1Y","2007"
"31","FB","AUS","MEN","4.2","U_RATE","P1Y","2008"
"32","FB","AUS","MEN","6.5","U_RATE","P1Y","2009"
"33","FB","AUS","MEN","5.1","U_RATE","P1Y","2010"
"34","FB","AUS","MEN","4.6","U_RATE","P1Y","2011"
"35","FB","AUS","MEN","4.9","U_RATE","P1Y","2012"
"36","FB","AUS","MEN","5.8","U_RATE","P1Y","2013"
"37","FB","AUS","MEN","5.7","U_RATE","P1Y","2014"
"38","FB","AUS","MEN","5.8","U_RATE","P1Y","2015"
