STRUCTURE,STRUCTURE_ID,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,BE,2021,70.6,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,BG,2021,73.2,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,CZ,2021,80.0,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,DE,2021,79.4,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,EE,2021,79.3,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,EL,2021,62.6,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,ES,2021,67.7,d
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,FR,2021,73.2,d
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,HR,2021,68.2,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,HU,2021,78.8,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,IE,2021,74.9,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,LT,2021,77.4,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,LU,2021,74.1,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,LV,2021,75.3,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,MT,2021,79.1,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,NL,2021,81.7,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,PL,2021,75.4,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,PT,2021,75.9,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,RO,2021,67.1,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,RS,2021,66.7,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,SI,2021,76.1,
dataflow,ESTAT:LFSI_EMP_A(1.0),A,EMP_LFS,T,Y20-64,PC_POP,SK,2021,74.6,
