"","FREQUENCY","LOCATION","MEAS","OBS_STATUS","ObsValue","TIME_FORMAT","Time"
"1","A","AUS","PCT",NA,"53.799999","P1Y","1960"
"2","A","AUS","PCT",NA,"53.200001","P1Y","1961"
"3","A","AUS","PCT",NA,"51.400002","P1Y","1962"
"4","A","AUS","PCT",NA,"49.700001","P1Y","1963"
"5","A","AUS","PCT",NA,"48.200001","P1Y","1964"
"6","A","AUS","PCT",NA,"47.900002","P1Y","1965"
"7","A","AUS","PCT",NA,"45.799999","P1Y","1966"
"8","A","AUS","PCT",NA,"45","P1Y","1967"
"9","A","AUS","PCT",NA,"44.799999","P1Y","1968"
"10","A","AUS","PCT",NA,"44.400002","P1Y","1969"
"11","A","AUS","PCT",NA,"44.200001","P1Y","1970"
"12","A","AUS","PCT",NA,"45.400002","P1Y","1971"
"13","A","AUS","PCT",NA,"46.299999","P1Y","1972"
"14","A","AUS","PCT",NA,"47.200001","P1Y","1973"
"15","A","AUS","PCT",NA,"48.799999","P1Y","1974"
"16","A","AUS","PCT",NA,"50.099998","P1Y","1975"
"17","A","AUS","PCT",NA,"49.5","P1Y","1976"
"18","A","AUS","PCT",NA,"48.700001","P1Y","1977"
"19","A","AUS","PCT",NA,"49.200001","P1Y","1978"
"20","A","AUS","PCT",NA,"49.599998","P1Y","1979"
"21","A","AUS","PCT",NA,"49.599998","P1Y","1980"
"22","A","AUS","PCT",NA,"49.099998","P1Y","1981"
"23","A","AUS","PCT",NA,"49.400002","P1Y","1982"
"24","A","AUS","PCT",NA,"47.299999","P1Y","1983"
"25","A","AUS","PCT",NA,"46.299999","P1Y","1984"
"26","A","AUS","PCT",NA,"46.099998","P1Y","1985"
"27","A","AUS","PCT",NA,"45.400002","P1Y","1986"
"28","A","AUS","PCT",NA,"44.400002","P1Y","1987"
"29","A","AUS","PCT",NA,"42.799999","P1Y","1988"
"30","A","AUS","PCT",NA,"41.400002","P1Y","1989"
"31","A","AUS","PCT",NA,"41.299999","P1Y","1990"
"32","A","AUS","PCT",NA,"42","P1Y","1991"
"33","A","AUS","PCT",NA,"39.200001","P1Y","1992"
"34","A","AUS","PCT",NA,"37.700001","P1Y","1993"
"35","A","AUS","PCT",NA,"33.799999","P1Y","1994"
"36","A","AUS","PCT",NA,"32.900002","P1Y","1995"
"37","A","AUS","PCT",NA,"31.200001","P1Y","1996"
"38","A","AUS","PCT",NA,"30.299999","P1Y","1997"
"39","A","AUS","PCT",NA,"28.1","P1Y","1998"
"40","A","AUS","PCT",NA,"26","P1Y","1999"
"41","A","AUS","PCT",NA,"24.9","P1Y","2000"
"42","A","AUS","PCT",NA,"24.6","P1Y","2001"
"43","A","AUS","PCT",NA,"23.200001","P1Y","2002"
"44","A","AUS","PCT",NA,"23.200001","P1Y","2003"
"45","A","AUS","PCT",NA,"22.799999","P1Y","2004"
"46","A","AUS","PCT",NA,"22.5","P1Y","2005"
"47","A","AUS","PCT",NA,"20.4","P1Y","2006"
"48","A","AUS","PCT",NA,"18.799999","P1Y","2007"
"49","A","AUS","PCT",NA,"18.799999","P1Y","2008"
"50","A","AUS","PCT",NA,"19.6","P1Y","2009"
"51","A","AUS","PCT",NA,"18.4","P1Y","2010"
"52","A","AUS","PCT",NA,"18.4","P1Y","2011"
"53","A","AUS","PCT",NA,"18.200001","P1Y","2012"
"54","A","AUS","PCT",NA,"17","P1Y","2013"
"55","A","AUS","PCT",NA,"15.1","P1Y","2014"
"56","A","AUS","PCT",NA,"14.6","P1Y","2016"
"57","A","AUS","PCT",NA,"13.7","P1Y","2018"
"58","A","AUT","PCT",NA,"60.099998","P1Y","1960"
"59","A","AUT","PCT",NA,"59.599998","P1Y","1961"
"60","A","AUT","PCT",NA,"59","P1Y","1962"
"61","A","AUT","PCT",NA,"59.299999","P1Y","1963"
"62","A","AUT","PCT",NA,"59","P1Y","1964"
"63","A","AUT","PCT",NA,"58.599998","P1Y","1965"
"64","A","AUT","PCT",NA,"58.299999","P1Y","1966"
"65","A","AUT","PCT",NA,"57.700001","P1Y","1967"
"66","A","AUT","PCT",NA,"58","P1Y","1968"
